Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Blank_20ng_3-18-2026_Slot2-04_21527.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Crop_100ng_3-18-2026_Slot2-01_21523.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Hind_100ng_3-18-2026_Slot2-03_21525.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Mid_100ng_3-18-2026_Slot2-02_21524.d
A0A7M7SRA2	A0A7M7SRA2_APIME	LOC552718	Protein son of sevenless isoform X1		15354	18275.5	16055.8
A0A7M7SRB1	A0A7M7SRB1_APIME	LOC410398	Insulin-like growth factor 2 mRNA-binding protein 1 isoform X1		357835	324029	124357
A0A7M7SRC7	A0A7M7SRC7_APIME	LOC409554	Intersectin-1 isoform X1		92171.7	62118.9	21990.6
A0A7M7SRF5	A0A7M7SRF5_APIME	LOC725541	Protein spaetzle 5		42949	239874	11188.6
A0A7M7SRG2	A0A7M7SRG2_APIME	LOC727473	Signal recognition particle 19 kDa protein		30174.7	25708.8	9827.03
A0A7M7SRI2	A0A7M7SRI2_APIME	LOC552678	Enolase	1.51606e+06	2.2922e+06	1.45639e+06	1.01071e+06
A0A7M7SRJ2	A0A7M7SRJ2_APIME	LOC726599	Angiotensin-converting enzyme		5349.12	28783.9	60564.9
A0A7M7SRK1	A0A7M7SRK1_APIME	LOC107965400	Probable cytochrome P450 6a14				84533.1
A0A7M7SRL6	A0A7M7SRL6_APIME	LOC552210	Fumarylacetoacetase		172586	114249	77788.1
A0A7M7SRM2	A0A7M7SRM2_APIME	551742	MICOS complex subunit MIC25 isoform X1	301705	272602	577086	197249
A0A7M7SRN1	A0A7M7SRN1_APIME	LOC100577430	Uncharacterized protein LOC100577430		9935.42	11475.2	47398.5
A0A7M7SRN3	A0A7M7SRN3_APIME	LOC113219230	Protein canopy homolog 3		118243	88486.3	200272
A0A7M7SRN9	A0A7M7SRN9_APIME	727081	Uncharacterized protein LOC727081 isoform X1		58403.9	40859.7	4906.36
A0A7M7SRP1	A0A7M7SRP1_APIME	LOC551446	RNA-binding protein lark isoform X1	179315	311974	293482	94884.9
A0A7M7SRP3	A0A7M7SRP3_APIME	LOC410493	Vacuolar protein sorting-associated protein 11 homolog		1690.42	6357.5	7460.23
A0A7M7SRQ0	A0A7M7SRQ0_APIME	LOC409902	Liprin-alpha-1 isoform X1		27928.7	43580.1	18721.9
A0A7M7SRQ6	A0A7M7SRQ6_APIME	LOC413569	protein-tyrosine-phosphatase		11758.2	9034.8	12799.1
A0A7M7SRS1	A0A7M7SRS1_APIME	LOC552479	Protein draper isoform X1		29383.5	23619	15661.3
A0A7M7SRS6	A0A7M7SRS6_APIME	LOC551770	Cytosolic purine 5'-nucleotidase isoform X1		27479.2	38153.9	51932.3
A0A7M7SRT3	A0A7M7SRT3_APIME	LOC726259	Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial		12088.7	14973.2	11836.1
A0A7M7SRV2	A0A7M7SRV2_APIME	LOC412503	Mitochondrial dicarboxylate carrier isoform X1		44231	125684	225664
A0A7M7SRV4	A0A7M7SRV4_APIME	LOC411849	sulfite oxidase		15053.1	32356.2	23483.1
A0A7M7SRW1	A0A7M7SRW1_APIME	100578218	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2		10584.4	41106.4	11881.2
A0A7M7SRW6	A0A7M7SRW6_APIME	LOC107963991	Phosphorylase b kinase regulatory subunit		19369.2	11663.1	9998.29
A0A7M7SRY8	A0A7M7SRY8_APIME	412056	Organic cation transporter protein isoform X1			3720.09	23827.5
A0A7M7SRZ1	A0A7M7SRZ1_APIME	LOC113219268	Uncharacterized protein LOC113219268 isoform X1		19317.6	6664.91	
A0A7M7SRZ4	A0A7M7SRZ4_APIME	LOC100576592	Uncharacterized protein LOC100576592 isoform X1		14602.8	18510.3	11915.7
A0A7M7SS08	A0A7M7SS08_APIME	LOC413931	Dynactin subunit 1		137416	95656.9	47169.1
