Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Blank_20ng_3-18-2026_Slot2-04_21527.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Crop_100ng_3-18-2026_Slot2-01_21523.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Hind_100ng_3-18-2026_Slot2-03_21525.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Mid_100ng_3-18-2026_Slot2-02_21524.d
A0A087ZV30	A0A087ZV30_APIME	412768	Takeout			9648.05	
A0A087ZYQ1	A0A087ZYQ1_APIME	LOC411014	Malate dehydrogenase	1.04066e+06	1.24485e+06	1.93941e+06	766119
A0A088A0N5;A0A7M7FZ16;A0A7M7LKA7	A0A088A0N5_APIME;A0A7M7FZ16_APIME;A0A7M7LKA7_APIME	724633;725344;726447	Histone H2B		764416	2.20116e+06	880029
A0A088A461	A0A088A461_APIME	LOC726423	Transient receptor potential cation channel protein painless		60511.8	38233.7	48080.3
A0A088AF37	A0A088AF37_APIME	410610	Calmodulin-like protein 4		30996.3	34766.5	25805.7
A0A088AHC8	A0A088AHC8_APIME	410122	Glyceraldehyde-3-phosphate dehydrogenase	1.79309e+06	1.90665e+06	2.90199e+06	1.43642e+06
A0A343D003	A0A343D003_APILI	COI	Cytochrome c oxidase subunit 1			25635.8	78341.8
A0A343D004;Q56TT0	A0A343D004_APILI;Q56TT0_APIME	COII;COX2	Cytochrome c oxidase subunit 2	376912	259203	1.19611e+06	1.62003e+06
A0A343D005	A0A343D005_APILI	ATP8	ATP synthase F0 subunit 8		38880.1	55049.9	104036
A0A343D014	A0A343D014_APILI	ND1	NADH-ubiquinone oxidoreductase chain 1			32067.6	50511.6
A0A411FEG7	A0A411FEG7_APILI	CYTB	Cytochrome b		18014.7	43670.2	73813.4
A0A7M6UBX0	A0A7M6UBX0_APIME	TpnT	Troponin T isoform 1	1.8491e+06	5.15963e+06	4.64533e+06	710642
A0A7M6UCG3	A0A7M6UCG3_APIME	LOC725609	Heat shock factor-binding protein 1		53161.3	28539.5	31840.7
A0A7M6UCJ0	A0A7M6UCJ0_APIME	406119	Lambda crystallin-like protein	241594	111049	147482	1.01948e+06
A0A7M6UCP1	A0A7M6UCP1_APIME	552281	Glycine-rich cuticle protein		23722.4	55060.3	85236.2
A0A7M6UCT9	A0A7M6UCT9_APIME	Hsc70-4	Heat shock 70 kDa protein cognate 4	2.29986e+06	3.45709e+06	2.26366e+06	2.10611e+06
A0A7M6UD13	A0A7M6UD13_APIME	727061	COX assembly mitochondrial protein	162704	167692	401363	102663
A0A7M6UD57	A0A7M6UD57_APIME	409356	Small nuclear ribonucleoprotein-associated protein		4400.6	6090.12	51477.1
A0A7M6UD74	A0A7M6UD74_APIME	412484	Peptidoglycan-recognition protein		54621.5		
A0A7M6UD80	A0A7M6UD80_APIME	Snf	U1 small nuclear ribonucleoprotein A		100679	105488	28113.2
A0A7M6UD86	A0A7M6UD86_APIME	726644	Cytochrome c oxidase assembly factor-like		23143.1	43285.5	39086.2
A0A7M6UDS2	A0A7M6UDS2_APIME	409398	Superoxide dismutase [Cu-Zn]	981174	1.89384e+06	1.45695e+06	989666
A0A7M6UE88	A0A7M6UE88_APIME	Prpf3	U4/U6 small nuclear ribonucleoprotein Prp3		18156.2	17595.2	
A0A7M6UEA0	A0A7M6UEA0_APIME	Cdc37	Hsp90 co-chaperone Cdc37		61550.5	49317.8	32380.3
A0A7M6UEA1	A0A7M6UEA1_APIME	408324	T-cell immunomodulatory protein precursor		69179.7	62286.8	56710
A0A7M6UEA7	A0A7M6UEA7_APIME	LOC409699	26S proteasome non-ATPase regulatory subunit 1-like		60536.9	66821.1	65537.3
A0A7M6UEA8	A0A7M6UEA8_APIME	Ppib	Peptidyl-prolyl cis-trans isomerase	749050	892094	540185	778492
A0A7M6UEB4	A0A7M6UEB4_APIME	Eif3h	Eukaryotic translation initiation factor 3 subunit H		131569	122007	67273.1
A0A7M6UEC0	A0A7M6UEC0_APIME	LOC726880	phospholipase A1				8641.52
A0A7M6UEC6	A0A7M6UEC6_APIME	EF1a-F2	Elongation factor 1-alpha	1.07599e+06	1.33579e+06	1.2417e+06	1.65588e+06
A0A7M6UEG6	A0A7M6UEG6_APIME	727274	PHD and ring finger domains 1		33553.9	46505.9	
A0A7M6UEH4	A0A7M6UEH4_APIME	409345	Cuticular protein 3 precursor		30188.4	191981	131780
A0A7M6UEI9	A0A7M6UEI9_APIME	Rep	Rab proteins geranylgeranyltransferase component A		161250	128706	76240.9
A0A7M6UEN5	A0A7M6UEN5_APIME	LOC724946	Cytochrome P450 6a14-like	301852	159072	176030	1.04113e+06
A0A7M6UEY4	A0A7M6UEY4_APIME	724966	Large ribosomal subunit protein eL39		26980.1	119695	116394
A0A7M6UFV3	A0A7M6UFV3_APIME	100302106	Uncharacterized protein LOC100302106		148629	566216	156521
A0A7M6UG36	A0A7M6UG36_APIME	725089	Cuticular protein precursor		33224.9	71352.6	60671.4
A0A7M6UGJ4	A0A7M6UGJ4_APIME	LOC727144	Tether containing UBX domain for GLUT4		19967.8	31894.9	15395.9
A0A7M6UGK3	A0A7M6UGK3_APIME	Chmp1	Chromatin modifying protein 1		120905	129518	113636
A0A7M6UGK8	A0A7M6UGK8_APIME	Rpn1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	292127	170201	252971	722810
A0A7M6UGM2	A0A7M6UGM2_APIME	724191	Large ribosomal subunit protein uL29		199245	359529	422212
A0A7M6UGS0	A0A7M6UGS0_APIME	724777	Cuticular protein 14 precursor	5.44176e+06	1.36447e+06	951792	434624
A0A7M6UGS5	A0A7M6UGS5_APIME	100576341	Cuticular protein 16 precursor		276516		
A0A7M6UH50	A0A7M6UH50_APIME	ecd	Protein SGT1 homolog ecdysoneless		42830.6	24311.2	9862.45
A0A7M6UHC9	A0A7M6UHC9_APIME	CPR22	Cuticular protein 22 precursor	3.18831e+06	5.09068e+06	3.0539e+06	461291
A0A7M6UHD3	A0A7M6UHD3_APIME	724556	Cuticular protein 17 precursor		765444	320285	
A0A7M6UHE8	A0A7M6UHE8_APIME	413108	Pre-mRNA-processing factor 40 homolog A-like		19997.9	13470.4	25744
A0A7M6ULL9	A0A7M6ULL9_APIME	408605	Heat shock protein cognate 5	1.04289e+06	1.0519e+06	1.26247e+06	846884
A0A7M6UM85	A0A7M6UM85_APIME	725932	Cuticular protein analogous to peritrophins 3-C precursor		24992.7	5680.79	
A0A7M6UMF6	A0A7M6UMF6_APIME	AmHO	Heme oxygenase		10860.9	27810.2	56630.3
A0A7M6UMR7	HEX11_APIME	Hex110	Hexamerin 110		46712.6	70165.2	25993.4
A0A7M6UMZ6	A0A7M6UMZ6_APIME	PDHB	Pyruvate dehydrogenase E1 component subunit beta	1.08251e+06	1.43874e+06	2.06869e+06	916409
A0A7M6UN42	A0A7M6UN42_APIME	411770	C-type lectin 5 precursor		384465	246278	143614
A0A7M6UN72	A0A7M6UN72_APIME	727197	Cuticular protein 2 precursor		36518	190229	83309
A0A7M6UN80	A0A7M6UN80_APIME	CPR28	Cuticular protein 28 precursor		160576	30275.5	
A0A7M6UN87	A0A7M6UN87_APIME	rtGEF	Rho-type guanine exchange factor		5713.5		
A0A7M6UPE5	A0A7M6UPE5_APIME	408540	thioredoxin-dependent peroxiredoxin	312329	277187	288204	282075
A0A7M6UPZ2	A0A7M6UPZ2_APIME	STT3B	dolichyl-diphosphooligosaccharide--protein glycotransferase		25657.6	51043.6	153712
A0A7M6UPZ6	A0A7M6UPZ6_APIME	Rps14	40S ribosomal protein S14	206608	423295	496080	204264
A0A7M6UQ04	A0A7M6UQ04_APIME	LOC725187	Fatty acyl-CoA reductase	349621	185116	426133	765821
A0A7M6UQ09	A0A7M6UQ09_APIME	LOC551434	Selenium-binding protein 1-like			20105.7	130235
A0A7M6UQ67	A0A7M6UQ67_APIME	100578244	Cuticular protein 18 precursor		17817.4	93808.9	
A0A7M6UQB3	A0A7M6UQB3_APIME	LOC551028	Probable cytochrome P450 6a14		21389	54025.7	434286
A0A7M6URI6	A0A7M6URI6_APIME	Hsc70-3	Endoplasmic reticulum chaperone BIP	1.50314e+06	1.53357e+06	1.23255e+06	2.32128e+06
A0A7M6URT9	A0A7M6URT9_APIME	408325	Cyclin-dependent kinase 5 homolog		7722.51	10005.9	6937.31
A0A7M6US06	A0A7M6US06_APIME	100359409	Cytochrome c oxidase subunit		477999	423900	444741
A0A7M6US76	A0A7M6US76_APIME	100379261	Uncharacterized protein LOC100379261		19973.7	9284.34	9293.49
A0A7M6USA7	A0A7M6USA7_APIME	406120	Large ribosomal subunit protein P1		1.45365e+06	669780	805981
A0A7M6USX2	A0A7M6USX2_APIME	727204	Cuticular protein 4 precursor		38722.9	188542	271299
A0A7M6USX6	A0A7M6USX6_APIME	726691	Cuticular protein CPF2 isoform 1 precursor			16312.2	
A0A7M6UUB2	A0A7M6UUB2_APIME	406108	Tetraspanin		61993.7	103491	299698
A0A7M6UUC6	A0A7M6UUC6_APIME	Y-f	Yellow-f precursor		14131.4		
A0A7M6UUR2	APID2_APIME	APD2	Apidermin 2		75280.4	80438.9	4769.24
A0A7M6UUR5	A0A7M6UUR5_APIME	Fibroin3	Silk fibroin 3			320567	
A0A7M6UV19	A0A7M6UV19_APIME	uzip	Anarchy 1		169605	45954.6	5656.6
A0A7M6UV25	A0A7M6UV25_APIME	Pkc	Protein kinase C		6602.13	7089.03	5991.22
A0A7M6UV61	A0A7M6UV61_APIME	411899	Gram-negative bacteria-binding protein 1-2 precursor		85348.5	18762	
A0A7M6UVC2	A0A7M6UVC2_APIME	410620	Heat shock 70 kDa protein cognate 4	295624	829229	591269	120223
A0A7M6UVD3	A0A7M6UVD3_APIME	551975	1-Cys peroxiredoxin	1.34711e+06	3.13669e+06	1.9101e+06	882179
A0A7M6UVG4	A0A7M6UVG4_APIME	Cpap3-b	Cuticular protein analogous to peritrophins 3-B precursor		10444.3		
A0A7M6UVP7	A0A7M6UVP7_APIME	409224	5-demethoxyubiquinone hydroxylase, mitochondrial		31942.3	48391.8	44204.7
A0A7M6UVQ5	A0A7M6UVQ5_APIME	412632	Adenylate kinase 1		44083.1	46430.1	
A0A7M6UVZ7	A0A7M6UVZ7_APIME	727472	Peptidoglycan-recognition protein		55754.8	29672.4	31903.1
A0A7M6UW21	A0A7M6UW21_APIME	LOC552665	Quinone oxidoreductase-like protein 2-like		111512	229461	233341
A0A7M6UW24	A0A7M6UW24_APIME	410082	Superoxide dismutase	552656	586723	836998	504579
A0A7M6UW25	A0A7M6UW25_APIME	CUTA	Protein CutA homolog precursor		29437.2	20664.7	19395.6
A0A7M6UW28	A0A7M6UW28_APIME	LOC100578262	Uncharacterized protein LOC100578262		3888.63	2365.74	
A0A7M6UW92	A0A7M6UW92_APIME	LOC410331	Transcription elongation factor SPT6		20479.3	15422	8046.22
A0A7M6UWA6	A0A7M6UWA6_APIME	410065	Cuticular protein analogous to peritrophins 3-D precursor		47383.5	3685.83	
A0A7M6UWD5	A0A7M6UWD5_APIME	RCC1	Regulator of chromosome condensation	93719.8	153634	98087.6	46904.1
A0A7M6UWL1	A0A7M6UWL1_APIME	100577189	Cuticular protein 6 precursor		5550.55	73249.7	51905.4
A0A7M6UWL5	A0A7M6UWL5_APIME	412304	Dehydrogenase/reductase SDR family member 4		112969	170176	283971
A0A7M6UWL9	A0A7M6UWL9_APIME	LOC100577883	Cytochrome P450 4aa1-like		68176.6	53331.9	9242.53
A0A7M6UWS6	A0A7M6UWS6_APIME	726777	Cytochrome b-c1 complex subunit 10		351460	453411	531523
A0A7M6UWU9	A0A7M6UWU9_APIME	MARCH6	E3 ubiquitin-protein ligase MARCHF6		15800.6	31368.4	36283
A0A7M6UWV3	A0A7M6UWV3_APIME	Ube2g1	E2 ubiquitin-conjugating enzyme				8429.56
A0A7M6UX04	A0A7M6UX04_APIME	725256	Cuticular protein 12 precursor		126688	6676.26	
A0A7M6UX09	A0A7M6UX09_APIME	LOC552738	2-hydroxyacyl-CoA lyase		13988	31899.2	55565.7
A0A7M6UX13	A0A7M6UX13_APIME	100578506	Rho-associated protein kinase let-502		15321.2	13422.4	16686.2
A0A7M6W5F9	MRJP7_APIME	Mrjp7	Major royal jelly protein 7		54462.7		
A0A7M6W5S3	A0A7M6W5S3_APIME	Ndufs1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	287537	185499	460593	437208
A0A7M6W5Y2	A0A7M6W5Y2_APIME	726239	Octanoyl-[acyl-carrier-protein]:protein N-octanoyltransferase LIPT2, mitochondrial		18944	28558.1	16956.2
A0A7M6W611	A0A7M6W611_APIME	TpnCIIIa	Troponin C type IIIa		276120	148330	200872
A0A7M6W876	A0A7M6W876_APIME	LOC406114	Alpha-amylase		30338.8	6841.32	138337
A0A7M6W880	MRJP9_APIME	Mrjp9	Major royal jelly protein 9		12507.4	35438.8	3332.97
A0A7M6W8H3	A0A7M6W8H3_APIME	409716	Apidermin 3 precursor		292004	597256	286617
A0A7M6W8H4	A0A7M6W8H4_APIME	Trxr-1	thioredoxin-disulfide reductase (NADPH)	266450	259006	418399	629045
A0A7M6W8K2	A0A7M6W8K2_APIME	550961	Vesicle-associated membrane protein 7		18180.3	25941.2	26075.5
A0A7M6W8L2	A0A7M6W8L2_APIME	552627	Cuticular protein 1 precursor		41387.2	285122	82122.1
A0A7M6W8L3	A0A7M6W8L3_APIME	725509	Cuticular protein 27 precursor			10825	9103.83
A0A7M6W8L4	A0A7M6W8L4_APIME	551635	Uncharacterized protein LOC551635 precursor		6654.33	8940.44	34005.4
A0A7M6W8L9	A0A7M6W8L9_APIME	LOC726237	Disulfide-isomerase TMX3-like protein		19062	11357.1	34448.4
A0A7M6W8M0	A0A7M6W8M0_APIME	LOC112939925	Cytochrome P450 6a13-like				33922.3
A0A7M7FXH7	A0A7M7FXH7_APIME	724408	Ras-related GTP-binding protein A		8859.25	10746.7	13558.4
A0A7M7FXJ4	A0A7M7FXJ4_APIME	724164	Large ribosomal subunit protein uL30m		7820.01	12265.3	19309.8
A0A7M7FXJ5	A0A7M7FXJ5_APIME	LOC724203	Ribosome biogenesis protein BRX1 homolog		18471.8	32355.1	10791.1
A0A7M7FXK5	A0A7M7FXK5_APIME	724532	Eukaryotic translation initiation factor 4C		296561	305801	59897.7
A0A7M7FXL2	A0A7M7FXL2_APIME	LOC724192	Titin		267183	92072.5	58783.5
A0A7M7FXM2	A0A7M7FXM2_APIME	725184	Gamma-aminobutyric acid receptor-associated protein		41481.1	25517.5	100194
A0A7M7FXM6	A0A7M7FXM6_APIME	LOC724227	Synaptic vesicle glycoprotein 2B			9278.33	
A0A7M7FXR6	A0A7M7FXR6_APIME	724794	Multifunctional methyltransferase subunit TRM112-like protein		31374.8	25826.9	26260.4
A0A7M7FXS7	A0A7M7FXS7_APIME	724160	Uncharacterized protein LOC724160 isoform X1		33111.9	35592.1	10378.4
A0A7M7FXT6	A0A7M7FXT6_APIME	725742	Vacuolar ATPase assembly integral membrane protein VMA21 homolog		10615.2	4745.01	13685.8
A0A7M7FXT8	A0A7M7FXT8_APIME	725186	Chromatin modification-related protein MEAF6		14658.2	13398.6	
A0A7M7FXU1	A0A7M7FXU1_APIME	724901	Bleomycin hydrolase		46385.4	105491	246319
A0A7M7FXU8	A0A7M7FXU8_APIME	724223	Hamartin isoform X1			3349.26	3364.13
A0A7M7FXV7	A0A7M7FXV7_APIME	724493	Uncharacterized protein LOC724493 isoform X1		28128.9	49819.1	43559.5
A0A7M7FXW2	A0A7M7FXW2_APIME	LOC724548	Integrin alpha-PS2 isoform X1	483396	1.01113e+06	567042	240476
A0A7M7FXW7;A0A7M7FYS9;A0A7M7GAL6;A0A7M7LKC5	A0A7M7FXW7_APIME;A0A7M7FYS9_APIME;A0A7M7GAL6_APIME;A0A7M7LKC5_APIME	724678;725308;725450;726468	Histone H2A		59081.6	135247	158353
A0A7M7FXX6	A0A7M7FXX6_APIME	LOC724624	Endocuticle structural glycoprotein SgAbd-1		239831	71288.5	
A0A7M7FXY2	A0A7M7FXY2_APIME	LOC725038	NPC intracellular cholesterol transporter 2 homolog a		513791	460529	91516.1
A0A7M7FXY4	A0A7M7FXY4_APIME	726009	Malignant T-cell-amplified sequence 1 homolog		43078.6	23700.7	22385.7
A0A7M7FY01	A0A7M7FY01_APIME	LOC724596	Transducin beta-like protein 3			6772.6	10150.9
A0A7M7FY03	A0A7M7FY03_APIME	LOC724728	NF-kappa-B essential modulator		12195.6	7594.44	9103.74
A0A7M7FY10	A0A7M7FY10_APIME	LOC724638	Nucleolar protein 10		52733.4	84453	55751.6
A0A7M7FY12	A0A7M7FY12_APIME	LOC724785	Ran-binding protein 3 isoform X1		35741.1	21281.7	30181.3
A0A7M7FY19	A0A7M7FY19_APIME	LOC724681	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]		73946.9	28625.9	53958.2
A0A7M7FY20	A0A7M7FY20_APIME	724467	Iron-sulfur cluster assembly 2 homolog, mitochondrial		25424.4	20861.6	22002.5
A0A7M7FY26	A0A7M7FY26_APIME	724862	Nuclear envelope integral membrane protein 1 isoform X1			32378.4	36199.8
A0A7M7FY53	A0A7M7FY53_APIME	724772	Leucine-rich repeat neuronal protein 1			17072.9	263814
A0A7M7FY63	A0A7M7FY63_APIME	LOC724795	WASH complex subunit 1		34680.1	17982.2	
A0A7M7FY69	A0A7M7FY69_APIME	724842	Elongator complex protein 5		13957.5	21567.7	16832.6
A0A7M7FY77	A0A7M7FY77_APIME	LOC724587	Nucleotide exchange factor SIL1		85913.4	62101.4	130923
A0A7M7FY83	A0A7M7FY83_APIME	724917	Inactive serine protease scarface		40443.6		
A0A7M7FY84	A0A7M7FY84_APIME	726013	Small ribosomal subunit protein uS10	482770	1.03735e+06	813910	566067
A0A7M7FY89	A0A7M7FY89_APIME	LOC724951	1-acylglycerol-3-phosphate O-acyltransferase		11454.4		
A0A7M7FYB3	A0A7M7FYB3_APIME	724769	Protein C10		7721.11	14554.9	9058
A0A7M7FYB5	A0A7M7FYB5_APIME	LOC726978	Homeodomain-only protein		54754.8	39543.9	7119.01
A0A7M7FYB7	A0A7M7FYB7_APIME	LOC726407	Uncharacterized protein LOC726407		283876	179272	7412.4
A0A7M7FYF7	A0A7M7FYF7_APIME	LOC725287	Sulfhydryl oxidase		10576.2	8200.67	64442.9
A0A7M7FYG1	A0A7M7FYG1_APIME	724988	Uncharacterized protein LOC724988			14706.1	
A0A7M7FYG7	A0A7M7FYG7_APIME	725358	Protein YIPF			2334.3	7118.81
A0A7M7FYG8	A0A7M7FYG8_APIME	724161	Guanine nucleotide-binding protein-like 3 homolog		16467.2	22909.4	9400.97
A0A7M7FYH1	A0A7M7FYH1_APIME	724274	Protein lethal(2)essential for life		189096	113409	332036
A0A7M7FYH2	A0A7M7FYH2_APIME	725418	Replication protein A 32 kDa subunit		24152.5	23664.5	25400.5
A0A7M7FYH4	A0A7M7FYH4_APIME	725315	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4		308667	430785	297955
A0A7M7FYH5	A0A7M7FYH5_APIME	LOC725393	Protein TIS11			8075.56	
A0A7M7FYI6	A0A7M7FYI6_APIME	725573	Uncharacterized protein LOC725573			15121.2	
A0A7M7FYJ0	A0A7M7FYJ0_APIME	LOC725432	60S ribosomal protein L37a		81254.6	42745	21374.6
A0A7M7FYK5	A0A7M7FYK5_APIME	726902	MICOS complex subunit MIC10		14356.1	36760.8	18398.8
A0A7M7FYK6	A0A7M7FYK6_APIME	LOC724211	Cytochrome P450 9e2		15242.8	345985	1.09503e+06
A0A7M7FYK7	A0A7M7FYK7_APIME	724676	ADP-ribosylation factor-like protein 1		10181.8	9509.93	63284.4
A0A7M7FYK8	A0A7M7FYK8_APIME	725550	Proteasome activator complex subunit 4A		30254.9	24174.2	56047.5
A0A7M7FYK9	A0A7M7FYK9_APIME	724144	Enhancer of rudimentary homolog		40890.5	31765.6	19932.3
A0A7M7FYM2	A0A7M7FYM2_APIME	724625	DNA-directed RNA polymerases I, II, and III subunit RPABC5		38800.2	47879.1	34160.1
A0A7M7FYM5	A0A7M7FYM5_APIME	725696	RNA polymerase-associated protein Rtf1		42399.1	28785.9	24340.1
A0A7M7FYM9	A0A7M7FYM9_APIME	LOC725625	Uncharacterized protein LOC725625		48226.1	28929.3	
A0A7M7FYN0	A0A7M7FYN0_APIME	726088	Protein phosphatase PP2A regulatory subunit A		111370	161726	188012
A0A7M7FYN2	A0A7M7FYN2_APIME	724489	Ubiquitin-like protein 5		8156.66		9768.58
A0A7M7FYN4	A0A7M7FYN4_APIME	LOC725310	Synaptobrevin-1		219909	277748	205653
A0A7M7FYN8	A0A7M7FYN8_APIME	LOC725756	Beta-galactosidase		63682.8	53628.1	48375.3
A0A7M7FYP2	A0A7M7FYP2_APIME	724241	N-alpha-acetyltransferase 38-B, NatC auxiliary subunit		31868.3	28754.5	25021.6
A0A7M7FYP7	A0A7M7FYP7_APIME	724474	La-related protein 7		15276.5	11809.8	
A0A7M7FYP8	A0A7M7FYP8_APIME	725789	Ragulator complex protein LAMTOR1		22171.2	33492.2	4418.19
A0A7M7FYQ0	A0A7M7FYQ0_APIME	724791	vitamin-K-epoxide reductase (warfarin-sensitive)			18706.1	63481.9
A0A7M7FYQ2	A0A7M7FYQ2_APIME	724829	Immediate early response 3-interacting protein 1		58893.7	75430	172990
A0A7M7FYQ3	A0A7M7FYQ3_APIME	LOC725387	Uncharacterized protein DDB_G0283357	267554	312285	688956	296545
A0A7M7FYQ7	A0A7M7FYQ7_APIME	724488	Protein lethal(2)essential for life		1.00816e+06	426410	515994
A0A7M7FYR1	A0A7M7FYR1_APIME	725817	Diphosphomevalonate decarboxylase		15968.3	23751.4	26486.4
A0A7M7FYR3	A0A7M7FYR3_APIME	725427	Glucose dehydrogenase [FAD, quinone]		3854.8	10929.8	32633.8
A0A7M7FYR4	A0A7M7FYR4_APIME	LOC725896	Nucleoporin p58/p45 isoform X1		70922	111427	21782.1
A0A7M7FYR5	A0A7M7FYR5_APIME	724264	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7		250267	404137	176438
A0A7M7FYR6	A0A7M7FYR6_APIME	725566	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit		14814.4	54742	135969
A0A7M7FYR7	A0A7M7FYR7_APIME	LOC724398	LOW QUALITY PROTEIN: gibberellin-regulated protein 14		31614	55605.2	214757
A0A7M7FYS0	A0A7M7FYS0_APIME	725866	Large ribosomal subunit protein bL9m		29846.6	41788.2	32772
A0A7M7FYS8	A0A7M7FYS8_APIME	LOC725928	Dedicator of cytokinesis protein 3 isoform X1		4962.91	6091.77	6828.22
A0A7M7FYT4	A0A7M7FYT4_APIME	724328	Arrestin domain-containing protein 17		79748.8	92737.9	94889.3
A0A7M7FYU1	A0A7M7FYU1_APIME	726043	Leucine-rich repeat-containing protein 57		11968.9	12138.1	18298.9
A0A7M7FYU3	A0A7M7FYU3_APIME	LOC724357	Endosome-associated-trafficking regulator 1		27359.5	21674.6	4455.42
A0A7M7FYU6	A0A7M7FYU6_APIME	726058	FACT complex subunit SSRP1		62123.5	41667.4	59955.3
A0A7M7FYU7	A0A7M7FYU7_APIME	726028	Probable rRNA-processing protein EBP2 homolog isoform X1		11509.1	12960.3	
A0A7M7FYV1	A0A7M7FYV1_APIME	LOC724380	Protein phosphatase 1 regulatory subunit 21		20262.1	21490	12192.5
A0A7M7FYV2	A0A7M7FYV2_APIME	725669	Large ribosomal subunit protein mL64		42066.5	77005	30140.4
A0A7M7FYV5	A0A7M7FYV5_APIME	726081	Mitochondrial import receptor subunit TOM70		30486.3	145732	52980.4
A0A7M7FYV6	A0A7M7FYV6_APIME	726151	Large ribosomal subunit protein mL49		7610.56	20132.7	13981.8
A0A7M7FYV9	A0A7M7FYV9_APIME	724744	28S ribosomal protein S14, mitochondrial		38552.7	53955.7	29427.8
A0A7M7FYW7	A0A7M7FYW7_APIME	726273	RalBP1-associated Eps domain-containing protein 1 isoform X1		57733	42689.3	19739.6
A0A7M7FYW9	A0A7M7FYW9_APIME	726118	Uncharacterized protein LOC726118		60378.1	258224	311790
A0A7M7FYX4	A0A7M7FYX4_APIME	LOC724439	Uncharacterized protein LOC724439		3396.63		3696.48
A0A7M7FYX7	A0A7M7FYX7_APIME	725572	Ribonuclease kappa-B	2.26028e+06	59846.1	728554	995080
A0A7M7FYX9	A0A7M7FYX9_APIME	725678	Actin-related protein 2/3 complex subunit 3		59105.3	62708.9	115210
A0A7M7FYY6	A0A7M7FYY6_APIME	726312	Receptor-binding cancer antigen expressed on SiSo cells		7137.16	15806.7	
A0A7M7FYY9	A0A7M7FYY9_APIME	725743	Signal recognition particle 9 kDa protein		35994.3	34742.5	91671.4
A0A7M7FYZ2	A0A7M7FYZ2_APIME	LOC726354	Uncharacterized protein LOC726354		22115.4	27758	4846.01
A0A7M7FYZ3	A0A7M7FYZ3_APIME	724665	Protein SET isoform X1		174995	154920	100323
A0A7M7FYZ7	A0A7M7FYZ7_APIME	725647	40S ribosomal protein S6	281911	364563	451843	387523
A0A7M7FZ01	A0A7M7FZ01_APIME	726301	Actin-related protein 2/3 complex subunit 4		32675.6	58246.2	97907.7
A0A7M7FZ10	A0A7M7FZ10_APIME	726336	Splicing factor 3B subunit 2		28856.4	42477	19523.2
A0A7M7FZ14	A0A7M7FZ14_APIME	726120	ATP synthase-coupling factor 6, mitochondrial	2.01485e+06	2.26304e+06	3.68399e+06	1.46836e+06
A0A7M7FZ17	A0A7M7FZ17_APIME	726453	ATP synthase subunit s, mitochondrial		22466.1	23113.4	18871.6
A0A7M7FZ29	A0A7M7FZ29_APIME	LOC724789	STAM-binding protein isoform X1		9230.93	12123.2	2588.08
A0A7M7FZ31	A0A7M7FZ31_APIME	726480	Large ribosomal subunit protein mL54		22889	29488.4	24966.6
A0A7M7FZ32	A0A7M7FZ32_APIME	725059	Protein kish		24880.7	33355.4	82977
A0A7M7FZ37	A0A7M7FZ37_APIME	724685	Protein-L-isoaspartate O-methyltransferase domain-containing protein 1		13325.1	9659.92	
A0A7M7FZ41	A0A7M7FZ41_APIME	726527	Protein FAM136A		19128	72892.4	33757.8
A0A7M7FZ43	A0A7M7FZ43_APIME	726616	Uncharacterized protein LOC726616		11792.5	15941.3	14268.6
A0A7M7FZ44	A0A7M7FZ44_APIME	725093	Phosphofurin acidic cluster sorting protein 2 isoform X1		25382.7	14072.5	24743.4
A0A7M7FZ48	A0A7M7FZ48_APIME	726409	Peptidyl-prolyl cis-trans isomerase		86444.5	78178.5	58559.3
A0A7M7FZ50	A0A7M7FZ50_APIME	726330	Ras modification protein ERF4		33922.7	34332	87514.3
A0A7M7FZ52	A0A7M7FZ52_APIME	724761	Uncharacterized protein LOC724761		11283.3		
A0A7M7FZ58	A0A7M7FZ58_APIME	LOC724781	Uncharacterized protein LOC724781				36561
A0A7M7FZ61	A0A7M7FZ61_APIME	LOC724775	Survival of motor neuron-related-splicing factor 30		44873.8	22256.8	6978.44
A0A7M7FZ62	A0A7M7FZ62_APIME	LOC724808	Lactoylglutathione lyase		234746	183057	106391
A0A7M7FZ71	A0A7M7FZ71_APIME	LOC724943	Phosphatidylinositol glycan anchor biosynthesis class U protein				14563.7
A0A7M7FZ75	A0A7M7FZ75_APIME	726860	Cytochrome b5	545643	933075	796279	1.36599e+06
A0A7M7FZ82	A0A7M7FZ82_APIME	LOC725201	Large ribosomal subunit protein bL21m			39998.2	109745
