id,mz,mz_range:min,mz_range:max,rt,rt_range:min,rt_range:max,area,height,intensity_range:min,intensity_range:max,charge,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,alignment_scores:ion_mobility_absolute_error,molecular_networking:net_cluster_id,molecular_networking:net_community_id,molecular_networking:edges,molecular_networking:net_cluster_size,molecular_networking:net_community_size,ion_identities:iin_id,ion_identities:ion_identities,ion_identities:list_size,ion_identities:neutral_mass,ion_identities:partner_row_ids,ion_identities:iin_relationship,ion_identities:consensus_formulas,ion_identities:simple_formulas,preferred_annotation:compound_name,preferred_annotation:mol_formula,preferred_annotation:adduct,preferred_annotation:score,preferred_annotation:precursor_mz,preferred_annotation:annotation_method,preferred_annotation:n_matching_signals,preferred_annotation:explained_intensity_percent,preferred_annotation:smiles,preferred_annotation:inchi,preferred_annotation:neutral_mass,preferred_annotation:mz_diff,preferred_annotation:mz_diff_ppm,preferred_annotation:rt_absolute_error,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:similarity_score,spectral_db_matches:n_matching_signals,spectral_db_matches:explained_intensity_percent,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:inchi,spectral_db_matches:neutral_mass,spectral_db_matches:precursor_mz,spectral_db_matches:mz_diff,spectral_db_matches:mz_diff_ppm,spectral_db_matches:rt_absolute_error,lipid_annotations:lipid_annotations,lipid_annotations:ion_adduct,lipid_annotations:mol_formula,lipid_annotations:mz_diff_ppm,lipid_annotations:explained_intensity_percent,feature_group,datafile:Crop_P1-A-1_562.d:feature_state,datafile:Crop_P1-A-1_562.d:mz,datafile:Crop_P1-A-1_562.d:mz_range:min,datafile:Crop_P1-A-1_562.d:mz_range:max,datafile:Crop_P1-A-1_562.d:rt,datafile:Crop_P1-A-1_562.d:rt_range:min,datafile:Crop_P1-A-1_562.d:rt_range:max,datafile:Crop_P1-A-1_562.d:fwhm,datafile:Crop_P1-A-1_562.d:area,datafile:Crop_P1-A-1_562.d:height,datafile:Crop_P1-A-1_562.d:intensity_range:min,datafile:Crop_P1-A-1_562.d:intensity_range:max,datafile:Crop_P1-A-1_562.d:charge,datafile:Crop_P1-A-1_562.d:fragment_scans,datafile:Crop_P1-A-1_562.d:isotopes,datafile:Crop_P1-A-1_562.d:tailing_factor,datafile:Crop_P1-A-1_562.d:asymmetry_factor,datafile:Crop_P1-A-1_562.d:msms_info,datafile:Crop_P1-A-1_562.d:rt_ms2_apex_distance,datafile:Hind_P1-A-3_564.d:feature_state,datafile:Hind_P1-A-3_564.d:mz,datafile:Hind_P1-A-3_564.d:mz_range:min,datafile:Hind_P1-A-3_564.d:mz_range:max,datafile:Hind_P1-A-3_564.d:rt,datafile:Hind_P1-A-3_564.d:rt_range:min,datafile:Hind_P1-A-3_564.d:rt_range:max,datafile:Hind_P1-A-3_564.d:fwhm,datafile:Hind_P1-A-3_564.d:area,datafile:Hind_P1-A-3_564.d:height,datafile:Hind_P1-A-3_564.d:intensity_range:min,datafile:Hind_P1-A-3_564.d:intensity_range:max,datafile:Hind_P1-A-3_564.d:charge,datafile:Hind_P1-A-3_564.d:fragment_scans,datafile:Hind_P1-A-3_564.d:isotopes,datafile:Hind_P1-A-3_564.d:tailing_factor,datafile:Hind_P1-A-3_564.d:asymmetry_factor,datafile:Hind_P1-A-3_564.d:msms_info,datafile:Hind_P1-A-3_564.d:rt_ms2_apex_distance,datafile:Mid_P1-A-2_563.d:feature_state,datafile:Mid_P1-A-2_563.d:mz,datafile:Mid_P1-A-2_563.d:mz_range:min,datafile:Mid_P1-A-2_563.d:mz_range:max,datafile:Mid_P1-A-2_563.d:rt,datafile:Mid_P1-A-2_563.d:rt_range:min,datafile:Mid_P1-A-2_563.d:rt_range:max,datafile:Mid_P1-A-2_563.d:fwhm,datafile:Mid_P1-A-2_563.d:area,datafile:Mid_P1-A-2_563.d:height,datafile:Mid_P1-A-2_563.d:intensity_range:min,datafile:Mid_P1-A-2_563.d:intensity_range:max,datafile:Mid_P1-A-2_563.d:charge,datafile:Mid_P1-A-2_563.d:fragment_scans,datafile:Mid_P1-A-2_563.d:isotopes,datafile:Mid_P1-A-2_563.d:tailing_factor,datafile:Mid_P1-A-2_563.d:asymmetry_factor,datafile:Mid_P1-A-2_563.d:msms_info,datafile:Mid_P1-A-2_563.d:rt_ms2_apex_distance
110,365.10487,365.10241,365.10804,0.5159,0.5019,0.5914,6.329E4,2.28E6,1.092E2,2.28E6,1,2,0.167,1,5,1,0,0,0,0,41,-1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,UNKNOWN,,,,,,,,,,,,,,,,,0,,DETECTED,365.10478,365.10241,365.10804,0.5157,0.5019,0.5914,0.0556,1.77E4,6.24E5,1.092E2,6.24E5,1,2,19,1.7644,2.2681,2,-0.0023,ESTIMATED,365.10497,365.10443,365.10523,0.5162,0.5024,0.5644,0.0826,6.329E4,2.28E6,1.949E4,2.28E6,,,,1.7339,2.0607,0,
122,219.09645,219.09453,219.09839,0.5277,0.5019,0.5713,9.661E2,3.402E4,2.138E3,3.402E4,1,0,0.333,2,0,0.964,1.77,0.00039,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,ESTIMATED,219.09643,219.09588,219.09715,0.5512,0.5443,0.565,0.0212,3.753E1,3.097E3,2.353E3,3.097E3,,,,1.4998,1.9996,0,,DETECTED,219.09627,219.09453,219.09717,0.5157,0.5019,0.5363,0.0282,3.615E2,1.565E4,3.047E3,1.565E4,1,,69,1.25,1.5001,0,,DETECTED,219.09666,219.09589,219.09839,0.5162,0.5024,0.5713,0.0314,9.661E2,3.402E4,2.138E3,3.402E4,1,,207,2.5001,3.8235,0,
123,379.08664,379.08279,379.08845,0.5185,0.5019,0.557,1.213E4,7.128E5,7.248E2,7.128E5,1,0,0.333,2,0,0.782,6.14,0.00233,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,ESTIMATED,379.08769,379.08612,379.08786,0.5236,0.5168,0.5512,0.0202,1.213E4,7.128E5,9.662E4,7.128E5,,,,2.5035,3.1124,0,,DETECTED,379.08495,379.08279,379.0875,0.5157,0.5019,0.557,0.043,4.392E2,1.627E4,7.248E2,1.627E4,1,,7,2.0013,2.8532,0,,DETECTED,379.08728,379.08596,379.08845,0.5162,0.5024,0.5437,0.0233,2.362E3,1.135E5,6.448E3,1.135E5,1,,19,1.256,1.4249,0,
125,397.17062,397.16449,397.17758,0.5231,0.5019,0.5506,1.934E3,9.603E4,5.88E2,9.603E4,1,0,0.333,2,0,0.986,0.38,0.00015,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,ESTIMATED,397.17056,397.16939,397.17117,0.5374,0.5236,0.5443,0.014,3.27E1,3.132E3,1.613E3,3.132E3,,,,0.7494,0.4988,0,,DETECTED,397.17072,397.17033,397.17577,0.5157,0.5019,0.5432,0.0204,1.934E3,9.603E4,5.202E3,9.603E4,1,,3,1.2536,1.4227,0,,DETECTED,397.17057,397.16449,397.17758,0.5162,0.5024,0.5506,0.0225,7.363E2,3.342E4,5.88E2,3.342E4,1,,3,1.5951,1.9487,0,
126,406.1324,406.12879,406.13787,0.5139,0.5019,0.5575,7.778E2,2.974E4,4.273E2,2.974E4,1,0,0.333,2,0,0.756,6.41,0.0026,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,ESTIMATED,406.13329,406.13196,406.13329,0.5099,0.503,0.5168,0.0138,2.148E1,3.116E3,3.116E3,3.116E3,,,,1.0015,1.003,0,,DETECTED,406.13066,406.12879,406.13278,0.5157,0.5019,0.5501,0.0312,7.778E2,2.974E4,3.547E3,2.974E4,1,,2,1.7513,2.0497,0,,DETECTED,406.13326,406.13093,406.13787,0.5162,0.5024,0.5575,0.0259,1.848E2,7.797E3,4.273E2,7.797E3,1,,2,1.7622,2.2717,0,
128,490.17515,490.16971,490.1792,0.5139,0.5019,0.5713,1.56E3,6.889E4,4.529E1,6.889E4,1,1,0.333,2,0,0.697,6.59,0.00323,0.0005,0,42,-1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,ESTIMATED,490.17595,490.17475,490.17609,0.5099,0.503,0.5168,0.0138,4.586E2,5.18E4,2.948E4,5.18E4,,,,1.0015,1.003,0,,DETECTED,490.17313,490.17085,490.1792,0.5157,0.5019,0.5708,0.0463,2.049E2,7.673E3,4.529E1,7.673E3,,,,1.7356,3.9078,0,,DETECTED,490.17636,490.16971,490.17899,0.5162,0.5024,0.5713,0.0382,1.56E3,6.889E4,5.061E2,6.889E4,1,1,4,1.4414,1.506,1,0.0046
144,97.02778,97.02531,97.03026,0.5162,0.5019,1.0054,2.995E4,8.262E5,1.511E3,8.262E5,1,4,0.5,3,1,0.996,0.62,0.00006,0.0011,0,43,-1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,DETECTED,97.02775,97.02531,97.02983,0.5168,0.503,1.0054,0.0363,2.995E4,8.262E5,1.511E3,8.262E5,1,2,4,2.5856,3.2673,3,-0.0092,DETECTED,97.02781,97.02699,97.02819,0.5157,0.5019,0.5777,0.0447,2.779E3,9.623E4,6.736E3,9.623E4,1,1,11,2.7343,3.0281,1,0.0115,DETECTED,97.02777,97.02713,97.03026,0.5162,0.5024,0.7707,0.0393,5.819E3,1.401E5,1.643E3,1.401E5,1,1,3,7.8108,3.9151,1,0.0046
145,109.02771,109.02391,109.03102,0.5162,0.5019,0.8334,1.203E4,4.248E5,2.022E2,4.248E5,1,0,0.5,3,1,0.989,1.35,0.00015,0.0011,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,DETECTED,109.02762,109.02536,109.03102,0.5168,0.503,0.8334,0.0272,1.203E4,4.248E5,2.022E2,4.248E5,1,,2,2.2359,2.5449,2,,DETECTED,109.02774,109.02391,109.02862,0.5157,0.5019,0.6466,0.1012,1.394E3,2.329E4,5.894E2,2.329E4,1,,7,4.9916,7.4732,0,,DETECTED,109.02777,109.02691,109.02965,0.5162,0.5024,0.6262,0.0269,1.429E3,4.398E4,7.519E2,4.398E4,1,,15,2.5376,3.5744,0,
167,325.11263,325.10952,325.11681,0.5162,0.5019,1.081,1.582E5,5.526E6,7.326E2,5.526E6,1,2,0.667,4,0,0.965,1.95,0.00063,0.0011,0,20,32,1,2,2,5,[M+H-H2O]+,6,342.11629,167;323;373,,,,Turanose,C12H22O11,[M-H2O+H]+,0.895,325.11293,Spectral match,6,1,O=C(CO)[C@@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,"InChI=1S/C12H22O11/c13-1-4(16)7(18)11(5(17)2-14)23-12-10(21)9(20)8(19)6(3-15)22-12/h4,6-16,18-21H,1-3H2/t4-,6-,7-,8-,9+,10-,11-,12-/m1/s1",342.11621,-0.0003,-0.92,-1.2663,Turanose (0.895),Turanose,0.895,6,1,[M+H-H2O]+,C12H22O11,O=C(CO)[C@@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CO,"InChI=1S/C12H22O11/c13-1-4(16)7(18)11(5(17)2-14)23-12-10(21)9(20)8(19)6(3-15)22-12/h4,6-16,18-21H,1-3H2/t4-,6-,7-,8-,9+,10-,11-,12-/m1/s1",342.11621,325.11293,-0.0003,-0.92,-1.2663,,,,,,11,DETECTED,325.11279,325.10952,325.11681,0.5168,0.503,1.081,0.0272,1.582E5,5.526E6,1.23E3,5.526E6,1,2,7,2.0262,2.4535,8,-0.0023,DETECTED,325.11235,325.11015,325.11422,0.5157,0.5019,0.619,0.0314,4.091E3,1.314E5,1.23E3,1.314E5,1,,5,2.7483,3.3246,0,,DETECTED,325.11275,325.11062,325.1164,0.5162,0.5024,0.8737,0.031,1.365E4,4.179E5,7.326E2,4.179E5,1,,3,2.4214,2.8762,0,
172,327.19154,327.18837,327.19311,0.5208,0.5024,0.5501,2.143E2,9.649E3,2.172E3,9.649E3,1,0,0.167,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,ESTIMATED,327.19223,327.19124,327.19287,0.5099,0.503,0.5168,0.0138,6.924E1,6.814E3,6.466E3,6.814E3,,,,1.0015,1.003,0,,ESTIMATED,327.19115,327.19064,327.1918,0.5363,0.5294,0.5501,0.0218,3.445E1,2.826E3,2.172E3,2.826E3,,,,1.5026,2.0051,0,,DETECTED,327.19124,327.18837,327.19311,0.5162,0.5024,0.5369,0.0355,2.143E2,9.649E3,3.365E3,9.649E3,1,,12,1.2501,1.5002,0,
