A0A7M7LIA9	1.16596155724473e-08
A0A7M7MQK9	7.46215396636628e-07
A0A7M7GW30	8.49985975231409e-06
Q76LA5	4.77577853847442e-05
A0A7M7GID6	0.000182181493319489
A0A7M7FYK6	0.000543991024148102
A0A7M7MT47	0.00137174211248285
A0A7M7R638	0.00305649826462363
A0A7M7LPV3	0.00619639775943697
A0A7M7H0N1	0.0116596155724473
A0A7M7R464	0.0206557202231403
A0A7M7R7Q7	0.0348154255454785
A0A7M6UQB3	0.0562787373816288
A0A7M7L5X8	0.0877914951989026
A0A7M7TEU2	0.132810308629908
A0A7M7GST0	0.195615888935912
A0A7M7GWS1	0.281434775393421
A0A7M7IM28	0.396569456603966
A0A7M7TET8	0.548536886727103
A0A7M7R579	0.746215396636628
