id,mz,mz_range:min,mz_range:max,rt,rt_range:min,rt_range:max,area,height,intensity_range:min,intensity_range:max,charge,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,alignment_scores:ion_mobility_absolute_error,molecular_networking:net_cluster_id,molecular_networking:net_community_id,molecular_networking:edges,molecular_networking:net_cluster_size,molecular_networking:net_community_size,ion_identities:iin_id,ion_identities:ion_identities,ion_identities:list_size,ion_identities:neutral_mass,ion_identities:partner_row_ids,ion_identities:iin_relationship,ion_identities:consensus_formulas,ion_identities:simple_formulas,preferred_annotation:compound_name,preferred_annotation:mol_formula,preferred_annotation:adduct,preferred_annotation:score,preferred_annotation:precursor_mz,preferred_annotation:annotation_method,preferred_annotation:n_matching_signals,preferred_annotation:explained_intensity_percent,preferred_annotation:smiles,preferred_annotation:inchi,preferred_annotation:mz_diff,preferred_annotation:mz_diff_ppm,preferred_annotation:neutral_mass,preferred_annotation:rt_absolute_error,preferred_annotation:comment,preferred_annotation:classyfire_class,preferred_annotation:ccs,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:similarity_score,spectral_db_matches:n_matching_signals,spectral_db_matches:explained_intensity_percent,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:inchi,spectral_db_matches:classyfire_class,spectral_db_matches:neutral_mass,spectral_db_matches:precursor_mz,spectral_db_matches:mz_diff,spectral_db_matches:mz_diff_ppm,spectral_db_matches:rt_absolute_error,spectral_db_matches:ccs,spectral_db_matches:comment,lipid_annotations:lipid_annotations,lipid_annotations:ion_adduct,lipid_annotations:mol_formula,lipid_annotations:mz_diff_ppm,lipid_annotations:explained_intensity_percent,feature_group,datafile:Crop_P1-E-1_1_14971.d:feature_state,datafile:Crop_P1-E-1_1_14971.d:mz,datafile:Crop_P1-E-1_1_14971.d:mz_range:min,datafile:Crop_P1-E-1_1_14971.d:mz_range:max,datafile:Crop_P1-E-1_1_14971.d:rt,datafile:Crop_P1-E-1_1_14971.d:rt_range:min,datafile:Crop_P1-E-1_1_14971.d:rt_range:max,datafile:Crop_P1-E-1_1_14971.d:fwhm,datafile:Crop_P1-E-1_1_14971.d:area,datafile:Crop_P1-E-1_1_14971.d:height,datafile:Crop_P1-E-1_1_14971.d:intensity_range:min,datafile:Crop_P1-E-1_1_14971.d:intensity_range:max,datafile:Crop_P1-E-1_1_14971.d:charge,datafile:Crop_P1-E-1_1_14971.d:fragment_scans,datafile:Crop_P1-E-1_1_14971.d:isotopes,datafile:Crop_P1-E-1_1_14971.d:tailing_factor,datafile:Crop_P1-E-1_1_14971.d:asymmetry_factor,datafile:Crop_P1-E-1_1_14971.d:msms_info,datafile:Crop_P1-E-1_1_14971.d:rt_ms2_apex_distance,datafile:Hind_P1-E-3_1_14973.d:feature_state,datafile:Hind_P1-E-3_1_14973.d:mz,datafile:Hind_P1-E-3_1_14973.d:mz_range:min,datafile:Hind_P1-E-3_1_14973.d:mz_range:max,datafile:Hind_P1-E-3_1_14973.d:rt,datafile:Hind_P1-E-3_1_14973.d:rt_range:min,datafile:Hind_P1-E-3_1_14973.d:rt_range:max,datafile:Hind_P1-E-3_1_14973.d:fwhm,datafile:Hind_P1-E-3_1_14973.d:area,datafile:Hind_P1-E-3_1_14973.d:height,datafile:Hind_P1-E-3_1_14973.d:intensity_range:min,datafile:Hind_P1-E-3_1_14973.d:intensity_range:max,datafile:Hind_P1-E-3_1_14973.d:charge,datafile:Hind_P1-E-3_1_14973.d:fragment_scans,datafile:Hind_P1-E-3_1_14973.d:isotopes,datafile:Hind_P1-E-3_1_14973.d:tailing_factor,datafile:Hind_P1-E-3_1_14973.d:asymmetry_factor,datafile:Hind_P1-E-3_1_14973.d:msms_info,datafile:Hind_P1-E-3_1_14973.d:rt_ms2_apex_distance,datafile:Mid_P1-E-2_1_14972.d:feature_state,datafile:Mid_P1-E-2_1_14972.d:mz,datafile:Mid_P1-E-2_1_14972.d:mz_range:min,datafile:Mid_P1-E-2_1_14972.d:mz_range:max,datafile:Mid_P1-E-2_1_14972.d:rt,datafile:Mid_P1-E-2_1_14972.d:rt_range:min,datafile:Mid_P1-E-2_1_14972.d:rt_range:max,datafile:Mid_P1-E-2_1_14972.d:fwhm,datafile:Mid_P1-E-2_1_14972.d:area,datafile:Mid_P1-E-2_1_14972.d:height,datafile:Mid_P1-E-2_1_14972.d:intensity_range:min,datafile:Mid_P1-E-2_1_14972.d:intensity_range:max,datafile:Mid_P1-E-2_1_14972.d:charge,datafile:Mid_P1-E-2_1_14972.d:fragment_scans,datafile:Mid_P1-E-2_1_14972.d:isotopes,datafile:Mid_P1-E-2_1_14972.d:tailing_factor,datafile:Mid_P1-E-2_1_14972.d:asymmetry_factor,datafile:Mid_P1-E-2_1_14972.d:msms_info,datafile:Mid_P1-E-2_1_14972.d:rt_ms2_apex_distance
184,1038.79785,1038.77597,1038.81014,0.3182,0.3006,0.3785,2.061E2,5.233E3,5.131E1,5.233E3,1,0,0.4,2,0,0.652,7.31,0.00759,0.0179,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESTIMATED,1038.8079,1038.79222,1038.8079,0.3417,0.3328,0.3506,0.0178,2.649E1,2.97E3,2.97E3,2.97E3,,,,0.9986,0.9972,0,,ESTIMATED,1038.79721,1038.79043,1038.79864,0.3064,0.3006,0.3239,0.0273,9.343E1,5.014E3,2.323E3,5.014E3,,,,2.0144,3.0288,0,,DETECTED,1038.78843,1038.77597,1038.81014,0.3066,0.3008,0.3785,0.0625,2.061E2,5.233E3,5.131E1,5.233E3,1,,7,5.1806,8.9065,0,
212,1267.42296,1267.40163,1267.44882,0.3181,0.3008,0.3417,5.098E1,2.672E3,4.55E2,2.672E3,,0,0.2,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESTIMATED,1267.44178,1267.4261,1267.44882,0.3068,0.301,0.315,0.014,6.799E0,7.43E2,5.53E2,7.43E2,,,,1.2099,1.4198,0,,ESTIMATED,1267.41182,1267.40163,1267.42988,0.3328,0.315,0.3417,0.0191,1.12E1,8.06E2,4.55E2,8.06E2,,,,0.7495,0.4989,0,,ESTIMATED,1267.4153,1267.40944,1267.42634,0.3147,0.3008,0.3325,0.0246,5.098E1,2.672E3,4.8E2,2.672E3,,,,1.141,1.2821,0,
241,1196.75613,1196.73926,1196.76742,0.3122,0.3006,0.3692,1.193E2,4E3,2.849E2,4E3,1,0,0.4,2,0,0.927,1.49,0.00178,0.0094,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,ESTIMATED,1196.7644,1196.73926,1196.76742,0.315,0.3068,0.3239,0.0171,2.199E1,2.43E3,2.92E2,2.43E3,,,,1.0417,1.0833,0,,DETECTED,1196.75098,1196.74107,1196.76677,0.315,0.3006,0.3692,0.0351,1.193E2,3.582E3,2.849E2,3.582E3,1,,11,2.1115,3.0452,0,,ESTIMATED,1196.75303,1196.74182,1196.76272,0.3066,0.3008,0.3147,0.0139,4.258E1,4E3,1.431E3,4E3,,,,1.1944,1.3889,0,
245,1171.75905,1171.73836,1171.77837,0.318,0.3006,0.3692,1.279E2,4.847E3,6.517E1,4.847E3,1,0,0.6,3,0,0.813,4.73,0.00554,0.0267,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESTIMATED,1171.76908,1171.73836,1171.77837,0.3239,0.3068,0.3417,0.0212,1.047E2,4.847E3,8.7E2,4.847E3,,,,1.021,1.042,0,,DETECTED,1171.75357,1171.74132,1171.76981,0.3064,0.3006,0.3692,0.0361,1.279E2,3.689E3,6.517E1,3.689E3,1,,19,5.0322,8.7593,0,,DETECTED,1171.75449,1171.7407,1171.76651,0.3236,0.3008,0.3503,0.0399,1.045E2,2.98E3,1.398E3,2.98E3,,,,1.0857,1.1714,0,
247,1137.76582,1137.74351,1137.78284,0.3181,0.3006,0.3692,1.15E2,3.703E3,2.035E2,3.703E3,1,0,0.6,3,0,0.77,6.42,0.0073,0.0184,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,ESTIMATED,1137.76952,1137.74351,1137.78284,0.3068,0.301,0.315,0.014,2.997E1,3.182E3,4.48E2,3.182E3,,,,1.2099,1.4198,0,,DETECTED,1137.76133,1137.74468,1137.77493,0.315,0.3006,0.3692,0.1521,1.15E2,3.158E3,2.035E2,3.158E3,1,,24,2.0702,3.0629,0,,ESTIMATED,1137.7666,1137.76132,1137.78217,0.3325,0.3236,0.3594,0.0167,5.702E1,3.703E3,5.36E2,3.703E3,,,,2.0103,2.1617,0,
248,248.95936,248.95733,248.96281,0.3297,0.3006,0.4553,7.087E3,8.235E4,2.386E4,8.235E4,1,9,0.2,1,1,1,0,0,0,0,31,-1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,ESTIMATED,248.9622,248.96181,248.96281,0.3417,0.301,0.3688,0.1403,4.441E3,7.784E4,4.185E4,7.784E4,,,,0.8323,0.6647,0,,ESTIMATED,248.95771,248.95733,248.95811,0.3239,0.3006,0.3692,0.1093,4.539E3,8.235E4,3.667E4,8.235E4,,,,1.4688,1.9376,0,,DETECTED,248.95817,248.95752,248.95873,0.3236,0.3008,0.4553,0.1035,7.087E3,7.673E4,2.386E4,7.673E4,1,9,3,3.3846,5.7691,57,0.0036
297,363.94111,363.93764,363.94922,0.3267,0.301,0.3784,8.853E1,2.969E3,3.53E2,2.969E3,1,0,0.2,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,DETECTED,363.9445,363.94092,363.94922,0.3239,0.301,0.3784,0.0507,8.853E1,1.909E3,6.172E2,1.909E3,1,,3,1.6901,2.3803,0,,ESTIMATED,363.93879,363.93873,363.9445,0.3417,0.3328,0.3507,0.0179,3.016E1,2.969E3,7.83E2,2.969E3,,,,1.0104,1.0208,0,,ESTIMATED,363.94005,363.93764,363.94643,0.3147,0.3066,0.3325,0.0144,2.693E1,2.14E3,3.53E2,2.14E3,,,,1.6026,2.2052,0,
308,834.84615,834.83877,834.86192,0.3123,0.3006,0.3597,2.89E2,8.114E3,2.889E3,8.114E3,1,4,0.2,1,0,1,0,0,0,0,32,-1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,DETECTED,834.8554,834.85145,834.86192,0.3239,0.301,0.3597,0.0516,2.89E2,7.004E3,2.889E3,7.004E3,1,4,5,1.2828,1.5656,9,0.0018,ESTIMATED,834.84425,834.84262,834.8554,0.3064,0.3006,0.315,0.0144,6.909E1,7.719E3,4.608E3,7.719E3,,,,1.246,1.4919,0,,ESTIMATED,834.83879,834.83877,834.8554,0.3066,0.3008,0.3147,0.0139,7.638E1,8.114E3,6.867E3,8.114E3,,,,1.1944,1.3889,0,
321,1304.7317,1304.71232,1304.75177,0.3208,0.3008,0.3594,1.214E2,3.095E3,3.23E2,3.095E3,1,0,0.4,2,0,0.698,6.43,0.00839,0.0006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ESTIMATED,1304.73673,1304.71883,1304.74759,0.315,0.3068,0.3506,0.0362,6.479E1,2.43E3,1.235E3,2.43E3,,,,2.6692,4.3385,0,,ESTIMATED,1304.72822,1304.71232,1304.75099,0.3239,0.315,0.3507,0.035,5.643E1,2.8E3,3.23E2,2.8E3,,,,2.0045,3.009,0,,DETECTED,1304.73016,1304.71301,1304.75177,0.3236,0.3008,0.3594,0.0867,1.214E2,3.095E3,5.025E2,3.095E3,1,,11,1.2836,1.2191,0,
347,904.80203,904.78034,904.80853,0.3268,0.3006,0.3601,5.369E1,1.613E3,1.81E2,1.613E3,1,0,0.2,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,ESTIMATED,904.8033,904.79709,904.8033,0.3239,0.315,0.3328,0.0178,9.369E0,1.053E3,1.053E3,1.053E3,,,,1.0001,1.0001,0,,DETECTED,904.79709,904.78834,904.80731,0.3239,0.3006,0.3601,0.0401,5.369E1,1.455E3,6.021E2,1.455E3,1,,17,1.2735,1.5471,0,,ESTIMATED,904.80569,904.78034,904.80853,0.3325,0.3236,0.3414,0.0178,1.516E1,1.613E3,1.81E2,1.613E3,,,,1.0001,1.0003,0,
